domain,diya,jeb,logan,nicholas,total
Positionality,4,3,1,1,9
Being Heard,3,3,1,1,8
Sensemaking,2,2,4,3,11
Design Critique,2,5,3,2,12
Institutional Dynamics,4,0,2,0,6
Cross-Disciplinary,2,1,2,0,5
Credential,5,2,1,3,11
Improvement,2,3,0,3,8
